"El Catálogo Nacional de Códigos Postales, es elaborado por Correos de México y se proporciona en forma gratuita para uso particular, no estando permitida su comercialización, total o parcial, ni su distribución a terceros bajo ningún concepto.",,,,,,
Código Postal,Estado,Municipio,Ciudad,Tipo de Asentamiento,Asentamiento,Clave de Oficina
91155,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Casa Blanca,91002
91156,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Tanque,91002
91156,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ejido Del Troncal,91002
91156,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Miradores de las Flores,91002
91156,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas Del Sumidero,91002
91157,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Margarita Maza de Juárez,91002
91157,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unión,91002
91157,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Predio Palo Blanco,91002
91157,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Morelos,91002
91157,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Jacarandas,91002
91158,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Carolino Anaya,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Huizachal,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lealtad Institucional,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,PROVIPO,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rotaria,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Nacimiento,91002
91160,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Cafetal,91002
91163,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Higueras,91002
91163,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,UDICV,91002
91163,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Cincuentenario Casa Blanca,91002
91164,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lomas de Casa Blanca,91002
91164,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Flores de Casa Blanca,91002
91165,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Castillo,91002
91166,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Barrio,El Calvario,91002
91166,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Barrio,La Palma,91002
91166,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Barrio,La Tranca,91002
91166,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Barrio,Loma Bonita,91002
91166,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Barrio,Lomas de Los Castillo,91002
91170,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Mirador,91002
91170,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Loma Alta INFONAVIT,91002
91170,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Misión San Carlos,91002
91170,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Unidad Jardín,91002
91173,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Francisco Villa,91002
91173,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Salvador Díaz Mirón,91002
91173,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Arboledas de Xalapa,91002
91174,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Fesapauv Cristal,91002
91174,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Peñascal,91002
91174,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Heron Proal,91002
91179,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Jardines de Xalapa,91002
91180,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Encinal,91002
91180,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Sebastián Lerdo de Tejada Indeco,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Azteca,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,10 de Mayo,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Lázaro Cárdenas,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Constituyentes,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Agua Santa II,91002
91183,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Vanguardia Revolucionaria,91002
91184,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Los Cantaros,91002
91184,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Miguel Alemán Valdez,91002
91184,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Agua Clara,91002
91184,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines de las Flores,91002
91184,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines de Bambú,91002
91185,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Circuito Quetzales,91002
91185,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Unidad Habitacional y Deportiva el Castillo,91002
91186,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Rebombeo de Las Ánimas,91002
91190,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Fuentes de Las Ánimas,91002
91190,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Indeco Animas,91002
91190,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Las Flores,91002
91190,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Rincón de las Animas,91002
91190,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Loma Alta,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Linda Vista,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Bosque de Niebla,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Paseo de la Reina,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Conjunto Residencial Montecristo,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Cúspide,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Peñón de las Cumbres,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ampliación El Olmo,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,El Vergel,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Condominio,Torre Animas,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Rubí Ánimas,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Ánimas Marqueza,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Olmos de Las Ánimas,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Real del Bosque,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Residencial Monte Magno,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,El Cairo,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,El Tabachín,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Industrial Animas,91002
91193,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Residencial Las Cumbres,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,El Olmo,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Valle Real,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Puente de Triana,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Las Colinas,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Campestre el Porvenir,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Equipamiento,Central de Abastos Xalapa,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Condominio,Rincón del Águila,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Alta Vista,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Las Palomas,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Unidad habitacional,Balcones de Jalapa,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Xallitic,91002
91194,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,La Giralda,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Reserva de las Ánimas,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Imperial de las Ánimas,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Agrícola,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Cañada de Las Ánimas,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Anáhuac,91002
91195,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Tulipanes de Las Ánimas,91002
91196,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Jardines de Las Ánimas,91002
91196,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Pedregal de las Animas,91002
91196,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Diamante,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Dos Vistas Ánimas,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Acueducto Animas,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Loma Esmeralda,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Loma de Oro,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Condominio,Torre Unión,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Vista Hermosa,91002
91197,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Linda Vista Ánimas,91002
91198,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Pastoresa,91002
91198,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Nueva Herradura,91002
91198,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Fraccionamiento,Residencial del Lago,91002
91198,Veracruz de Ignacio de la Llave,Xalapa,Xalapa-Enríquez,Colonia,Campo Nuevo,91002
91200,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,El Palenque,91002
91200,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,El Potrerillo (El Mirador),91002
91200,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,La Haciendita,91002
91203,Veracruz de Ignacio de la Llave,Xalapa,,Pueblo,Chiltoyac,91002
91203,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Paso de San Juan,91002
91204,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Unión Antorchista,91002
91205,Veracruz de Ignacio de la Llave,Xalapa,,Pueblo,Tronconal,91002
91205,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Rancho el Dólar,91002
91207,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Ignacio Zaragoza,91002
91207,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Loma Bonita,91002
91210,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Seis de Enero,91002
91210,Veracruz de Ignacio de la Llave,Xalapa,,Pueblo,El Nacimiento,91002
91210,Veracruz de Ignacio de la Llave,Xalapa,,Rancho,Navidad,91002
91213,Veracruz de Ignacio de la Llave,Xalapa,,Pueblo,San Antonio Paso del Toro,91002
91213,Veracruz de Ignacio de la Llave,Xalapa,,Fraccionamiento,Reubicados Seis de Enero,91002
91213,Veracruz de Ignacio de la Llave,Xalapa,,Rancho,El Embrujo,91002
91213,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Rancho Tres Potrillos (El Infiernillo),91002
91215,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Vaquería (Pailas),91002
91216,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Castillo Chico,91002
91216,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,El Plan,91002
91216,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Las Cruces,91002
91216,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Ojo Zarco,91002
91217,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,La Troja,91002
91217,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Rancho la Laguna,91002
91217,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Silvestre Pérez Santamaría,91002
91220,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Cardenista Antonio Luna,91002
91220,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Cañadas,91002
91220,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Fernando Gutiérrez Barrios,91002
91225,Veracruz de Ignacio de la Llave,Xalapa,,Ejido,Benito Juárez,91002
91225,Veracruz de Ignacio de la Llave,Xalapa,,Ejido,Emiliano Zapata,91002
91226,Veracruz de Ignacio de la Llave,Xalapa,,Ranchería,Xoloxtla,91002
91227,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Francisca Ruán,91002
91227,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,La Cañada,91002
91227,Veracruz de Ignacio de la Llave,Xalapa,,Colonia,Olivia Guevara Herrera,91002
